sim_rmse,sim_r,participant,alpha
0.112356108,0.5482109,1z0ca,0.000638295
0.117825411,0.480395115,1z0ca,2.95E-21
0.117748141,0.481442338,1z0ca,9.45E-06
0.112611593,0.545296863,1z0ca,0.002344199
0.106172585,0.612709115,1z0ca,0.012929746
0.118788661,0.467114476,1z0ca,0.000151264
0.111367265,0.559275737,1z0ca,0.019087147
0.124807764,0.370013367,1z0ca,0.00019525
0.110571159,0.567960518,1z0ca,1.43E-05
0.111407823,0.558829873,1z0ca,0.01469278
0.117866681,0.479837603,1z0ca,0
0.124827729,0.369643303,1z0ca,0
0.114753126,0.519986908,1z0ca,0.000389685
0.117753158,0.481382265,1z0ca,1.44E-05
0.115043515,0.516401873,1z0ca,0.000120241
0.109305257,0.581420053,1z0ca,0.000241211
0.110929567,0.564079838,1z0ca,1.92E-05
0.107434096,0.600401276,1z0ca,0.000195094
0.115432823,0.511569942,1z0ca,4.75E-05
0.117496342,0.48484178,1z0ca,1.48E-05
0.117788155,0.480904686,1z0ca,7.01E-05
0.124811721,0.369935574,1z0ca,0.000156962
0.117353391,0.486751637,1z0ca,2.01E-05
0.106465903,0.609875007,1z0ca,0.006763202
0.112281017,0.549374591,1z0ca,0.000341733
0.112467964,0.546935631,1z0ca,0.013760143
0.102285337,0.648309473,1z0ca,0.000761069
0.11743993,0.485593172,1z0ca,0.021297194
0.114129399,0.527520485,1z0ca,0.000824609
0.103939944,0.633559026,1z0ca,0.001726562
0.11507976,0.515959184,1z0ca,0.002936263
0.117850532,0.480055373,1z0ca,7.71E-22
0.124829628,0.369600669,1z0ca,9.21E-19
0.113811104,0.531323353,1z0ca,0.000773139
0.108262124,0.592099327,1z0ca,0.000410851
0.115706866,0.508123334,1z0ca,0.004918442
0.103971397,0.633273132,1z0ca,0.000175518
0.111291395,0.560123853,1z0ca,3.92E-06
0.114637037,0.524686786,1z0ca,2.38E-05
0.11405777,0.528379589,1z0ca,5.60E-05
0.110487642,0.568864473,1z0ca,0.002913173
0.11740852,0.486097821,1z0ca,1.22E-05
0.112065958,0.551492161,1z0ca,0.071587798
0.109589966,0.578403512,1z0ca,0.000541804
0.110318572,0.570675643,1z0ca,0.012040513
0.10830263,0.591685756,1z0ca,0.000127153
0.114403836,0.524244638,1z0ca,0.007157617
0.116642257,0.496135689,1z0ca,4.66E-05
