,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
3057,5cuw8,1.0,2.0865193086002485,23.1060000000149,images/experiment/pair_5_41_out_tensor(0.6667).png,382.0,621,2,5_41_0.67,5_41_,5,41,0.67,9
3657,5cuw8,0.708,0.7055384680430675,25.1,images/experiment/pair_64_41_out_tensor(0.6667).png,120.0,622,2,64_41_0.67,64_41_,64,41,0.67,36
10057,5cuw8,0.276,-1.3375564741511177,29.3879999999702,images/experiment/pair_92_57_out_tensor(0.3333).png,66.0,623,2,92_57_0.33,92_57_,92,57,0.33,40
3457,5cuw8,0.728,0.8001261968483538,31.799000000022353,images/experiment/pair_5_41_out_tensor(0.3333).png,17.0,624,2,5_41_0.33,5_41_,5,41,0.33,7
9657,5cuw8,0.302,-1.2145924267042454,25.6579999999702,images/experiment/pair_101_92_out_tensor(0.3333).png,101.0,625,2,101_92_0.33,101_92_,101,92,0.33,52
7457,5cuw8,0.726,0.7906674239678252,24.62199999999255,images/experiment/pair_37_57_out_tensor(0.5000).png,218.0,626,2,37_57_0.5,37_57_,37,57,0.5,23
8457,5cuw8,0.394,-0.7794888741999283,25.40400000002235,images/experiment/pair_101_92_out_tensor(0.5000).png,373.0,627,2,101_92_0.5,101_92_,101,92,0.5,53
9857,5cuw8,0.924,1.72708593914016,26.9520000000298,images/experiment/pair_5_64_out_tensor(0.6667).png,336.0,628,2,5_64_0.67,5_64_,5,64,0.67,12
5857,5cuw8,0.758,0.9420077900562834,24.5789999999851,images/experiment/pair_64_57_out_tensor(0.5000).png,426.0,629,2,64_57_0.5,64_57_,64,57,0.5,38
8857,5cuw8,0.85,1.3771113425606005,26.1339999999851,images/experiment/37_start.png,231.0,630,2,37,37,37,,,1
3257,5cuw8,0.618,0.2798936884192789,24.468999999985098,images/experiment/41_start.png,203.0,631,2,41,41,41,,,2
4057,5cuw8,0.282,-1.309180155509532,33.75800000000745,images/experiment/pair_101_64_out_tensor(0.6667).png,295.0,632,2,101_64_0.67,101_64_,101,64,0.67,51
6657,5cuw8,0.734,0.8285025154899398,25.217999999970203,images/experiment/pair_37_101_out_tensor(0.6667).png,319.0,633,2,37_101_0.67,37_101_,37,101,0.67,33
10457,5cuw8,0.506,-0.24979759289032466,22.662999999970204,images/experiment/pair_37_41_out_tensor(0.3333).png,486.0,634,2,37_41_0.33,37_41_,37,41,0.33,19
6257,5cuw8,0.622,0.29881123418033617,21.358999999985098,images/experiment/pair_37_41_out_tensor(0.5000).png,76.0,635,2,37_41_0.5,37_41_,37,41,0.5,20
1657,5cuw8,0.58,0.10017700368923485,60.89300000000745,images/experiment/pair_37_57_out_tensor(0.6667).png,465.0,636,2,37_57_0.67,37_57_,37,57,0.67,24
6057,5cuw8,0.334,-1.0632520606157874,42.323000000007454,images/experiment/pair_37_92_out_tensor(0.5000).png,477.0,637,2,37_92_0.5,37_92_,37,92,0.5,29
6457,5cuw8,0.818,1.2257709764721425,25.4,images/experiment/pair_64_41_out_tensor(0.5000).png,368.0,638,2,64_41_0.5,64_41_,64,41,0.5,35
